This file was created using the 202506 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
199007    ,0.77    ,0.60   ,-0.36    ,0.21    ,1.35    ,0.68
199008  ,-10.77   ,-1.45    ,0.48    ,0.15    ,1.20    ,0.66
199009  ,-11.89    ,1.25    ,0.80    ,0.19    ,2.15    ,0.60
199010    ,9.35   ,-7.66   ,-4.48    ,2.96    ,1.01    ,0.68
199011   ,-3.72    ,1.48    ,1.13    ,1.31   ,-2.12    ,0.57
199012    ,1.11   ,-0.87   ,-1.47    ,1.38   ,-0.33    ,0.60
199101    ,2.49   ,-1.71    ,0.47    ,0.94   ,-2.21    ,0.52
199102    ,9.03    ,2.38    ,0.03   ,-2.00   ,-0.30    ,0.48
199103   ,-2.29    ,3.02   ,-1.05    ,0.75   ,-1.27    ,0.44
199104    ,0.54    ,0.10    ,0.46    ,0.34    ,0.08    ,0.53
199105    ,0.73   ,-0.46    ,0.32    ,0.09   ,-0.25    ,0.47
199106   ,-6.07    ,1.52    ,1.11    ,0.88    ,0.42    ,0.42
199107    ,3.47   ,-1.63   ,-0.38    ,1.87   ,-0.57    ,0.49
199108   ,-1.29    ,0.45   ,-0.57    ,1.63   ,-0.89    ,0.46
199109    ,2.85    ,0.52   ,-0.09   ,-0.06    ,0.37    ,0.46
199110    ,1.36   ,-0.31   ,-1.42   ,-1.38    ,0.02    ,0.42
199111   ,-5.09    ,0.75   ,-1.35    ,1.34   ,-0.41    ,0.39
199112    ,6.32   ,-2.06   ,-2.72    ,1.62   ,-1.99    ,0.38
199201   ,-2.18    ,4.27    ,3.08   ,-0.53    ,1.07    ,0.34
199202   ,-1.89    ,2.55    ,1.88    ,0.34    ,1.21    ,0.28
199203   ,-5.48    ,1.09    ,2.54    ,0.73    ,0.75    ,0.34
199204   ,-0.14   ,-1.48    ,3.02    ,3.25    ,2.04    ,0.32
199205    ,4.06    ,0.13    ,0.67   ,-1.29    ,1.11    ,0.28
199206   ,-3.70    ,0.54    ,1.06    ,0.64    ,0.47    ,0.32
199207   ,-0.59   ,-2.24   ,-1.37    ,0.55    ,0.62    ,0.31
199208    ,2.44   ,-2.73   ,-1.61    ,0.32    ,0.77    ,0.26
199209   ,-1.38   ,-0.23   ,-0.97    ,0.21   ,-0.18    ,0.26
199210   ,-2.99   ,-0.37   ,-0.50    ,0.05   ,-1.95    ,0.23
199211    ,1.82   ,-0.05   ,-1.79   ,-0.21   ,-1.06    ,0.23
199212    ,0.76    ,1.40    ,0.98    ,0.87    ,0.93    ,0.28
199301    ,0.31    ,1.82    ,3.25   ,-1.24    ,1.29    ,0.23
199302    ,1.89   ,-1.04    ,3.55   ,-1.16    ,2.52    ,0.22
